"practice_code","total_all","lsao2011_all_linked ","lsao2011_all_proportion","ethinic_2011_attributed_5_1","ethinic_2011_attributed_5_2","ethinic_2011_attributed_5_3","ethinic_2011_attributed_5_4","ethinic_2011_attributed_5_5","ethinic_2011_attributed_18_01","ethinic_2011_attributed_18_02","ethinic_2011_attributed_18_03","ethinic_2011_attributed_18_04","ethinic_2011_attributed_18_05","ethinic_2011_attributed_18_06","ethinic_2011_attributed_18_07","ethinic_2011_attributed_18_08","ethinic_2011_attributed_18_09","ethinic_2011_attributed_18_10","ethinic_2011_attributed_18_11","ethinic_2011_attributed_18_12","ethinic_2011_attributed_18_13","ethinic_2011_attributed_18_14","ethinic_2011_attributed_18_15","ethinic_2011_attributed_18_16","ethinic_2011_attributed_18_17","ethinic_2011_attributed_18_18"
"K82023",27399,27397,0.999927004635206,0.938833288094839,0.0197003197654182,0.026475863088939,0.0112219926736958,0.00376853637710813,0.887346933368496,0.0101744249724279,0.0002304821216428,0.0410814476322724,0.00767231904202462,0.00119297739499822,0.00666786276745618,0.00416716056093921,0.00765164672091983,0.00797681551727162,0.00114636024677863,0.0034626270380167,0.00623841356595222,0.0030049987199298,0.00697571292796805,0.00124128102579794,0.00152361381796164,0.00224492255914649
"K82024",10553,10553,1,0.865211499236335,0.0243698510628317,0.097857221841861,0.00956272849234135,0.00299869936663113,0.816270403765668,0.00886816977139264,0.00170197827627294,0.0383709474230012,0.00524783272015421,0.00341292969432018,0.00959512362020785,0.00611396502814946,0.0126893369505512,0.0694239380556277,0.00314447622600115,0.00387445554328893,0.00872501506639205,0.00505698709715984,0.00366680781063226,0.000838933584549251,0.000984140228103675,0.00201455913852746
"K82025",10823,10823,1,0.786127001020987,0.0305224325830574,0.10470727924221,0.0721546874641203,0.00648859968962526,0.721838147416942,0.0114635085215147,4.6602066770535e-05,0.0527787430157596,0.00699859756063967,0.00671916521485406,0.00839483651270402,0.00840983329485968,0.033722724964335,0.0158109546803495,0.00395205763250107,0.0128046649822619,0.0384168769827625,0.0552327505416419,0.010447845587184,0.00647409133529435,0.00131098342936629,0.00517761626025897
"K82026",11736,11734,0.999829584185412,0.850297139060606,0.0328793834148884,0.0632145066732648,0.0488231481420993,0.00478582270914149,0.800821720976128,0.0132436384661986,0.000148958749548294,0.0360828208687309,0.00951859385516294,0.00534665348831135,0.00952075450105255,0.00849338157036154,0.023474467774939,0.00757591818910987,0.0096502372868496,0.0103190121665333,0.012194871255833,0.0311188256336006,0.0127727391357963,0.00493158337270245,0.00188586968517939,0.00289995302396211
"K82027",6918,6914,0.999421798207574,0.796123298026262,0.0381159145990982,0.0802107720651757,0.0797553512110061,0.00579466409845772,0.741118897950294,0.0103590121623099,0.000388637002280646,0.0442567509113779,0.0101952094767866,0.00817162602138723,0.00903422713569453,0.0107148519652299,0.0180638555758971,0.0205576409903393,0.00391603315695166,0.00508213920941019,0.0325911031325775,0.0616912600785735,0.011215646973953,0.00684844415847959,0.00156657344861585,0.00422809064984187
"K82028",7940,7937,0.999622166246851,0.968688047931469,0.0130751853370996,0.0125924182967307,0.00317978913494679,0.00246455929975346,0.93097724055705,0.00889062166628448,0.000499954025701183,0.0283202316824334,0.00253124587062239,0.0010802981811333,0.00654531378550558,0.00291832749983831,0.00387278114985661,0.00184751265806969,0.0011546567873762,0.00198329131231881,0.00373417638910935,0.00167673846233574,0.00146752083957689,3.55298330341665e-05,0.000863849721185148,0.00160070957856831
"K82029",10118,10116,0.999802332476774,0.870340844830143,0.0314262416185657,0.0630339278013435,0.0308858312926253,0.00431315445732277,0.821572886324686,0.00946687077783278,0.000628609194447596,0.038672478533176,0.0164382541750848,0.00171903801263306,0.00759418068495348,0.00567476874589444,0.0149902189770262,0.0263164133211128,0.00330895181255574,0.00339157046129746,0.0150267732293512,0.00708328592465899,0.0179010096921292,0.00590153567583715,0.00133664088506081,0.00297651357226196
"K82030",10149,10149,1,0.622351515701507,0.0380549409953803,0.269293687937451,0.0639262474948543,0.00637360787080663,0.550987233261138,0.0082165459205844,0.000500303753618698,0.0626474327661659,0.0188719067731893,0.00295151130092144,0.0098146736847449,0.00641684923652469,0.0288914762818636,0.192844599976068,0.00677961989840482,0.00789997890510523,0.0328780128760098,0.020668260935427,0.0357780358250585,0.00747995073436873,0.00202418406621031,0.00434942380459632
"K82031",6113,6113,1,0.767039753687361,0.0235736629201798,0.18006438693176,0.0156044323783405,0.0137177640823583,0.697878102048168,0.0173500953251001,0.00404269174090033,0.0477688645731928,0.00543483604617564,0.00183071129167568,0.0110279653478048,0.00528015023452374,0.102668892978847,0.0471706390499833,0.00149765081659011,0.00631495893932828,0.0224122451470112,0.00707912562768516,0.00620774562743754,0.00231756112321782,0.00193967783623077,0.0117780862461276
"K82032",12156,12154,0.999835472194801,0.811710620554664,0.0345002505275072,0.0780535603392112,0.0701712135162582,0.0055643550623598,0.757366532090681,0.0099942688064033,0.000610388299647823,0.0437394313579312,0.0093071512115921,0.00743204495536712,0.00867578454870825,0.00908526981183971,0.0203989793385936,0.0188396080239876,0.00335624608605548,0.00609515551803228,0.0293635713725422,0.0535447664846883,0.0104183816677552,0.00620806536381465,0.00133363835539302,0.00423071670696679
